build_id,scope_version,snapshot_date,id_comercio,id_bandera,banner_label,source_rows,reporting_stores,reported_gtins,median_rows_7d,median_stores_7d,row_coverage_ratio,store_coverage_ratio,source_healthy
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,12,1,COTO,1005562,120,13340,1003828.0,120.0,1.0017273875604187,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,11,2,Changomas,1400737,53,26429,1419287.0,53.0,0.9869300571343217,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,13,1,Cooperativa Obrera,718249,155,10497,715322.0,155.0,1.0040918635243987,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,15,1,DIA,0,0,0,4008159.0,983.0,0.0,0.0,False
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,10,1,Hipermercado Carrefour,1308231,82,34394,1297722.0,82.0,1.0080980364053318,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,9,3,Jumbo,199977,33,10951,199658.0,33.0,1.0015977321219285,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,2,1,La Anonima,970566,184,8908,966780.0,184.0,1.0039160925960404,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,12,1,COTO,1003828,120,13351,1003828.0,120.0,1.0,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,11,2,Changomas,1406620,53,26540,1419287.0,53.0,0.9910750961574368,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,13,1,Cooperativa Obrera,483081,96,10315,715322.0,155.0,0.6753336259754349,0.6193548387096774,False
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,15,1,DIA,4026845,983,4190,4008159.0,983.0,1.0046619907044605,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,10,1,Hipermercado Carrefour,1309203,82,34445,1297722.0,82.0,1.008847041199887,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,9,3,Jumbo,199707,33,10958,199658.0,33.0,1.0002454196676316,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,2,1,La Anonima,968295,184,8915,966780.0,184.0,1.0015670576553093,1.0,True
